track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy,psi_rad,length,width
32,290,29000,car,-34.5468,-15.0847,4.0185,0.2645,0.0657,4.37,1.77
32,291,29100,car,-34.146,-15.0585,3.9981,0.2595,0.0648,4.37,1.77
32,292,29200,car,-33.7472,-15.0328,3.9759,0.2539,0.0638,4.37,1.77
32,293,29300,car,-33.3509,-15.0077,3.9516,0.2485,0.0628,4.37,1.77
32,294,29400,car,-32.9571,-14.9831,3.9243,0.2437,0.062,4.37,1.77
32,295,29500,car,-32.5662,-14.9589,3.8935,0.2395,0.0614,4.37,1.77
32,296,29600,car,-32.1786,-14.9352,3.8586,0.2356,0.061,4.37,1.77
32,297,29700,car,-31.7947,-14.9118,3.8195,0.2315,0.0605,4.37,1.77
32,298,29800,car,-31.4149,-14.8888,3.7767,0.2278,0.0602,4.37,1.77
32,299,29900,car,-31.0395,-14.8662,3.7304,0.2246,0.0601,4.37,1.77
32,300,30000,car,-30.669,-14.8439,3.6808,0.222,0.0602,4.37,1.77
32,301,30100,car,-30.3035,-14.8218,3.6286,0.2196,0.0604,4.37,1.77
32,302,30200,car,-29.9434,-14.8,3.5738,0.2166,0.0605,4.37,1.77
32,303,30300,car,-29.5889,-14.7785,3.5164,0.2134,0.0606,4.37,1.77
32,304,30400,car,-29.2402,-14.7573,3.4566,0.2099,0.0607,4.37,1.77
32,305,30500,car,-28.8977,-14.7365,3.3943,0.2057,0.0605,4.37,1.77
32,306,30600,car,-28.5615,-14.7162,3.3291,0.2012,0.0603,4.37,1.77
32,307,30700,car,-28.232,-14.6963,3.2611,0.1964,0.0601,4.37,1.77
32,308,30800,car,-27.9094,-14.6769,3.1901,0.191,0.0598,4.37,1.77
32,309,30900,car,-27.5941,-14.6581,3.1161,0.1855,0.0594,4.37,1.77
32,310,31000,car,-27.2864,-14.6399,3.0386,0.18,0.0592,4.37,1.77
32,311,31100,car,-26.9866,-14.6222,2.9569,0.174,0.0588,4.37,1.77
32,312,31200,car,-26.6952,-14.605,2.8712,0.1682,0.0585,4.37,1.77
32,313,31300,car,-26.4126,-14.5885,2.7817,0.1625,0.0583,4.37,1.77
32,314,31400,car,-26.139,-14.5726,2.6892,0.1565,0.0581,4.37,1.77
32,315,31500,car,-25.8748,-14.5572,2.5948,0.1506,0.058,4.37,1.77
32,316,31600,car,-25.6201,-14.5425,2.4988,0.1446,0.0578,4.37,1.77
32,317,31700,car,-25.3751,-14.5283,2.402,0.1379,0.0573,4.37,1.77
32,318,31800,car,-25.1397,-14.5149,2.3064,0.1304,0.0565,4.37,1.77
